Observacion	ID	Sexo	SexoNum	Edad	Fuma	Estatura	Colegio	Estrato	Financiacion	Acumulado	P1	P2	P3	Final	Definitiva	Gastos	Ingreso	Gas	Clases	Ley	PandemiaCat	PandemiaNum	Likert1	Likert2	Likert3	Likert4	Likert5	AGPEQ1	AGPEQ2	AGPEQ3	SATS1	SATS2	SATS3	SATS4	IDARE1.1	IDARE1.2	IDARE1.3	IDARE1.4	IDARE1.5	IDARE2.6	IDARE2.7	IDARE2.8	IDARE2.9	IDARE2.10	Puntaje
11	SB11201910038100	Femenino	0	20.75	No	Media	Privado	1	Beca	3.8	2.7	4	3	2.9	3.15	76.6	2.22	23.73	Virtual	En desacuerdo	En desacuerdo	1	5	4	1	5	3	De acuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Indeciso	En desacuerdo	En desacuerdo	Mucho	Mucho	Poco	Poco	Poco	Frecuentemente	Algunas veces	Algunas veces	Casi siempre	Casi siempre	35
12	SB11201910038016	Femenino	0	16.69	Si	Media	Privado	1	Beca	3.09	2.7	2.3	3.8	2.3	2.78	50.5	1.75	21.39	Presencial	En desacuerdo	De acuerdo	3	3	4	1	3	1	Totalmente de acuerdo	Totalmente de acuerdo	En desacuerdo	Indeciso	De acuerdo	En desacuerdo	Indeciso	Poco	Poco	Bastante	Poco	Poco	Algunas veces	Casi nunca	Algunas veces	Algunas veces	Algunas veces	34
13	SB11201910037882	Masculino	1	18.16	Si	Media	Privado	2	Beca	3.65	3	4.1	3.4	3	3.38	47.6	1.58	20.62	Presencial	De acuerdo	De acuerdo	3	3	5	4	3	4	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	Indeciso	Indeciso	Totalmente de acuerdo	Mucho	Mucho	Poco	Poco	Mucho	Casi siempre	Algunas veces	Casi nunca	Casi siempre	Casi siempre	30
14	SB11201910037986	Femenino	0	18.72	Si	Media	Privado	1	Beca	3.13	2.7	2.3	3.3	4.8	3.28	32.7	1.09	23.01	Presencial	En desacuerdo	De acuerdo	3	3	1	3	1	2	Ni de acuerdo, ni en desacuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Mucho	Bastante	Poco	Poco	Bastante	Casi siempre	Casi nunca	Algunas veces	Casi nunca	Algunas veces	28
15	SB11201910038042	Masculino	1	19.79	No	Media	Privado	1	Beca	3.49	2.8	2.3	3.5	2.7	2.83	53.7	1.79	27.02	Presencial	De acuerdo	De acuerdo	3	3	5	3	2	1	Totalmente en desacuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	En desacuerdo	Bastante	Bastante	Poco	Poco	Poco	Casi siempre	Frecuentemente	Casi nunca	Algunas veces	Frecuentemente	28
16	SB11201910038080	Masculino	1	17.49	No	Media	Privado	1	Beca	2.91	1	2.3	4.5	4.2	3	42	1.4	26.94	Virtual	En desacuerdo	De acuerdo	3	3	4	1	4	2	En desacuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	Indeciso	Totalmente de acuerdo	De acuerdo	Bastante	Poco	No en lo absoluto	Poco	Poco	Algunas veces	Frecuentemente	Casi nunca	Casi siempre	Casi siempre	28
17	SB11201910038156	Femenino	0	18.18	No	Media	Privado	2	Beca	3.09	2	2.4	3.6	4.2	3.05	43.8	1.17	25.02	Presencial	En desacuerdo	De acuerdo	3	3	3	4	5	1	Totalmente en desacuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Poco	Poco	Poco	Poco	Poco	Algunas veces	Casi nunca	Casi nunca	Algunas veces	Algunas veces	28
18	SB11201910038060	Masculino	1	19.21	No	Alta	Privado	1	Beca	2.97	1.5	2	4	3.4	2.73	33.9	1.13	27.45	Presencial	En desacuerdo	De acuerdo	3	2	1	4	3	4	De acuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Totalmente de acuerdo	De acuerdo	Indeciso	Poco	Poco	No en lo absoluto	Bastante	No en lo absoluto	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	Algunas veces	26
19	SB11201910038286	Masculino	1	24.91	No	Media	Privado	2	Beca	2.98	2.3	1.8	3.4	4	2.88	60.8	2.36	22.88	Presencial	De acuerdo	De acuerdo	3	3	4	3	1	4	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Mucho	Poco	Poco	Bastante	Casi siempre	Casi nunca	Algunas veces	Casi siempre	Frecuentemente	26
20	SB11201910040310	Masculino	1	20.72	Si	Media	Privado	1	Beca	3.78	3.1	3.5	4	4.1	3.68	39.6	1.32	25.21	Presencial	De acuerdo	De acuerdo	3	5	4	1	4	2	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Poco	Poco	Poco	Bastante	Frecuentemente	Algunas veces	Algunas veces	Casi nunca	Algunas veces	25
21	SB11201910044292	Femenino	0	19.01	No	Alta	Privado	1	Beca	4.05	3.1	4.3	4.2	2.5	3.53	41.6	1.39	25.59	Presencial	En desacuerdo	De acuerdo	3	4	2	3	4	1	De acuerdo	De acuerdo	Ni de acuerdo, ni en desacuerdo	En desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	Indeciso	No en lo absoluto	No en lo absoluto	Mucho	Mucho	Poco	Casi nunca	Casi siempre	Frecuentemente	Casi siempre	Casi siempre	24
22	SB11201910040447	Femenino	0	21.35	No	Media	Privado	1	Beca	4.12	3.8	5	3.5	5	4.33	73.5	2.45	18.64	Virtual	En desacuerdo	De acuerdo	3	2	3	2	2	1	En desacuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Bastante	Poco	Poco	Poco	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	Algunas veces	24
23	SB11201910038184	Femenino	0	21.11	No	Baja	Privado	1	Beca	4.14	3	5	3.7	3.5	3.8	70.9	2.53	22.54	Presencial	En desacuerdo	De acuerdo	3	3	1	3	3	2	Totalmente de acuerdo	De acuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	En desacuerdo	De acuerdo	Mucho	Bastante	No en lo absoluto	No en lo absoluto	Poco	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Casi nunca	24
24	SB11201910040312	Masculino	1	20.17	No	Baja	Privado	1	Beca	3.54	1	4.7	4	2	2.93	58.8	1.95	24.79	Presencial	En desacuerdo	De acuerdo	3	1	5	1	4	1	En desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	Indeciso	Indeciso	De acuerdo	Indeciso	Poco	Poco	Poco	No en lo absoluto	Poco	Frecuentemente	Casi siempre	Casi nunca	Casi nunca	Algunas veces	22
25	SB11201910038266	Femenino	0	16.04	No	Media	Privado	1	Beca	3.15	2.5	3	4	2.3	2.95	46.5	1.55	20.45	Virtual	En desacuerdo	De acuerdo	3	2	4	1	5	5	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	Indeciso	De acuerdo	Poco	Poco	Poco	Poco	Poco	Algunas veces	Frecuentemente	Algunas veces	Frecuentemente	Frecuentemente	20
26	SB11201910038217	Femenino	0	20.84	No	Media	Privado	1	Beca	4.65	4.2	4.7	3.2	4.8	4.23	44.1	1.57	27.69	Presencial	En desacuerdo	De acuerdo	3	3	3	2	5	5	Totalmente en desacuerdo	En desacuerdo	En desacuerdo	Indeciso	Totalmente en desacuerdo	En desacuerdo	Totalmente en desacuerdo	Bastante	Bastante	Poco	Poco	Poco	Frecuentemente	Algunas veces	Casi nunca	Casi nunca	Casi nunca	20
27	SB11201910038310	Femenino	0	16.43	No	Media	Privado	1	Beca	4.07	4.7	3.8	2.9	2.4	3.45	59.7	1.99	20.06	Presencial	De acuerdo	De acuerdo	3	2	4	5	5	3	De acuerdo	Totalmente de acuerdo	En desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Poco	Bastante	Poco	Bastante	Frecuentemente	Algunas veces	Frecuentemente	Algunas veces	Frecuentemente	19
28	SB11201910037009	Femenino	0	21.65	Si	Media	Privado	1	Beca	2.92	3.1	3	2.9	5	3.5	33.6	1.02	15.02	Virtual	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	2	2	3	3	4	En desacuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	En desacuerdo	Totalmente en desacuerdo	Bastante	Poco	Poco	Poco	Bastante	Frecuentemente	Frecuentemente	Casi siempre	Casi siempre	Frecuentemente	18
29	SB11201910036872	Masculino	1	18.36	Si	Baja	Privado	1	Beca	2.67	1	3	3	3	2.5	34.8	1.16	20.5	Presencial	De acuerdo	De acuerdo	3	3	5	4	5	5	En desacuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Mucho	Mucho	Poco	No en lo absoluto	Bastante	Frecuentemente	Frecuentemente	Casi siempre	Algunas veces	Frecuentemente	18
30	SB11201910040576	Femenino	0	21.85	Si	Baja	Privado	1	Beca	4.1	3.2	3.9	3.3	4.8	3.8	44.7	1.49	27.57	Presencial	De acuerdo	De acuerdo	3	4	3	5	1	5	Totalmente en desacuerdo	Totalmente en desacuerdo	Ni de acuerdo, ni en desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	De acuerdo	Bastante	Poco	Poco	No en lo absoluto	Bastante	Frecuentemente	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	17
31	SB11201910037487	Femenino	0	19.09	Si	Alta	Privado	1	Beca	2.91	1	2	2.8	4.3	2.53	66.6	2.22	27.12	Presencial	En desacuerdo	Ni de acuerdo, ni en desacuerdo	2	5	1	1	5	5	En desacuerdo	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	Totalmente de acuerdo	Indeciso	De acuerdo	No en lo absoluto	No en lo absoluto	Bastante	Bastante	Poco	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	Frecuentemente	17
32	SB11201910042901	Masculino	1	21.78	Si	Media	Privado	1	Beca	3.7	3.1	2.9	2.4	5	3.35	31.8	1.06	27.16	Presencial	En desacuerdo	De acuerdo	3	2	2	1	2	2	Ni de acuerdo, ni en desacuerdo	De acuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	En desacuerdo	Indeciso	No en lo absoluto	No en lo absoluto	Poco	Poco	Poco	Frecuentemente	Frecuentemente	Casi siempre	Casi siempre	Casi siempre	12
33	SB11201910036704	Femenino	0	21.36	Si	Media	Privado	1	Beca	4.34	4.6	3.4	3.8	4.6	4.1	53.4	1.78	26.73	Presencial	De acuerdo	De acuerdo	3	4	1	5	5	1	De acuerdo	Totalmente en desacuerdo	De acuerdo	Totalmente de acuerdo	En desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Poco	Bastante	Poco	Poco	Bastante	Frecuentemente	Casi nunca	Algunas veces	Casi nunca	Algunas veces	10
34	SB11201910036941	Masculino	1	17.23	Si	Baja	Privado	1	Beca	2.82	2.7	1.5	3.3	3.1	2.65	65	2.2	20.34	Virtual	De acuerdo	De acuerdo	3	2	5	3	5	4	De acuerdo	Totalmente de acuerdo	De acuerdo	De acuerdo	De acuerdo	En desacuerdo	Indeciso	Poco	Bastante	Poco	No en lo absoluto	No en lo absoluto	Algunas veces	Casi siempre	Casi nunca	Frecuentemente	Frecuentemente	10
35	SB11201910036898	Femenino	0	18.58	Si	Media	Privado	1	Beca	2.94	2.2	1.6	3.2	3.6	2.8	35.4	1.18	25.54	Presencial	En desacuerdo	De acuerdo	3	1	1	1	4	4	Totalmente en desacuerdo	Totalmente en desacuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	En desacuerdo	Indeciso	Poco	No en lo absoluto	Bastante	Bastante	Poco	Algunas veces	Frecuentemente	Casi siempre	Casi siempre	Casi siempre	9
36	SB11201910038516	Masculino	1	18.09	No	Alta	Privado	1	Beca	3.64	3.5	3.1	2.2	2	2.43	39.9	1.09	23.48	Presencial	En desacuerdo	En desacuerdo	1	5	3	1	1	1	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	Indeciso	En desacuerdo	En desacuerdo	De acuerdo	Poco	Poco	Mucho	Bastante	Poco	Frecuentemente	Casi nunca	Algunas veces	Casi siempre	Casi siempre	9
37	SB11201910036930	Femenino	0	27.88	Si	Alta	Privado	3	Beca	4.33	5	3.2	2.6	3	2.93	80.8	2.76	24.08	Presencial	En desacuerdo	De acuerdo	3	2	5	1	4	2	En desacuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	En desacuerdo	Totalmente de acuerdo	Totalmente en desacuerdo	De acuerdo	Poco	Bastante	Mucho	Mucho	Bastante	Casi siempre	Frecuentemente	Algunas veces	Casi nunca	Algunas veces	10
38	SB11201910037000	Femenino	0	20.82	Si	Alta	Privado	1	Beca	4.28	4.2	3.5	3.2	2.9	3.2	79.5	2.65	25.86	Presencial	De acuerdo	De acuerdo	3	1	1	2	3	3	De acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	Indeciso	Indeciso	Totalmente de acuerdo	Poco	Bastante	Bastante	Bastante	Bastante	Casi siempre	Frecuentemente	Casi siempre	Casi siempre	Frecuentemente	12
39	SB11201910036683	Masculino	1	19.38	Si	Alta	Privado	1	Beca	4.07	5	3.4	3.3	3.2	3.3	57.9	1.93	20.54	Presencial	De acuerdo	De acuerdo	3	1	1	3	5	3	De acuerdo	Totalmente de acuerdo	De acuerdo	De acuerdo	De acuerdo	Totalmente en desacuerdo	De acuerdo	Bastante	Poco	Poco	Poco	Poco	Frecuentemente	Frecuentemente	Algunas veces	Casi siempre	Frecuentemente	14
40	SB11201910037198	Femenino	0	16.59	Si	Media	Privado	2	Beca	3.18	3.2	1.7	1.2	3.4	2.1	74.1	2.27	22.51	Presencial	En desacuerdo	De acuerdo	3	2	1	2	3	1	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	En desacuerdo	De acuerdo	En desacuerdo	De acuerdo	Bastante	Poco	Bastante	Poco	Bastante	Frecuentemente	Frecuentemente	Casi siempre	Casi nunca	Algunas veces	18
41	SB11201910038551	Masculino	1	17.9	Si	Media	Privado	1	Beca	3.45	3	3.1	4.2	2.4	3.23	46.8	1.56	22.2	Presencial	De acuerdo	De acuerdo	3	5	4	1	4	1	Totalmente de acuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Casi siempre	Algunas veces	Frecuentemente	Casi siempre	Frecuentemente	16
42	SB11201910040563	Femenino	0	16.04	Si	Media	Privado	1	Beca	3.86	4.3	3	2.4	3.6	3	70.9	2.03	22.28	Virtual	En desacuerdo	De acuerdo	3	3	4	5	2	4	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	Indeciso	De acuerdo	Indeciso	Totalmente de acuerdo	Poco	Poco	Bastante	Poco	No en lo absoluto	Algunas veces	Algunas veces	Algunas veces	Algunas veces	Frecuentemente	0
43	SB11201910037871	Masculino	1	20.35	Si	Media	Privado	2	Beca	3.7	4	3	5	4.9	4.3	38.4	1.28	22.37	Presencial	En desacuerdo	De acuerdo	3	4	1	4	4	1	De acuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	Indeciso	En desacuerdo	En desacuerdo	Poco	Bastante	Bastante	Poco	Bastante	Casi nunca	Algunas veces	Casi nunca	Frecuentemente	Algunas veces	77
44	SB11201910037211	Femenino	0	17.59	Si	Media	Privado	3	Beca	4.91	5	5	2.8	2.2	3.33	36.6	1.22	27.16	Presencial	De acuerdo	De acuerdo	3	5	4	3	4	4	En desacuerdo	Totalmente de acuerdo	De acuerdo	De acuerdo	Indeciso	En desacuerdo	Indeciso	Poco	Bastante	Mucho	No en lo absoluto	Bastante	Frecuentemente	Frecuentemente	Frecuentemente	Algunas veces	Algunas veces	72
45	SB11201910036756	Femenino	0	19.89	Si	Baja	Privado	1	Beca	3.53	3.8	2.5	3	3.5	3	46.5	1.55	22.49	Presencial	En desacuerdo	De acuerdo	3	1	3	1	1	3	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	Indeciso	De acuerdo	En desacuerdo	De acuerdo	Poco	Poco	Bastante	No en lo absoluto	Poco	Casi siempre	Algunas veces	Algunas veces	Algunas veces	Algunas veces	60
46	SB11201910037284	Femenino	0	17.05	Si	Baja	Privado	2	Beca	4.3	3.8	4.7	3.8	1.3	3.27	73.6	2.1	23.31	Virtual	De acuerdo	De acuerdo	3	1	3	3	1	2	De acuerdo	En desacuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	De acuerdo	Poco	Poco	Bastante	Poco	Poco	Casi siempre	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	69
47	SB11201910040552	Femenino	0	18.19	Si	Media	Privado	1	Beca	3.62	4.2	1.8	3.2	1.9	2.3	44.7	1.49	25.25	Presencial	En desacuerdo	De acuerdo	3	5	1	5	1	4	Totalmente en desacuerdo	Totalmente en desacuerdo	Totalmente en desacuerdo	En desacuerdo	Indeciso	Indeciso	De acuerdo	Bastante	Poco	Poco	No en lo absoluto	Poco	Algunas veces	Frecuentemente	Casi nunca	Algunas veces	Frecuentemente	65
48	SB11201910040585	Masculino	1	20.17	Si	Baja	Privado	3	Beca	4.08	4	4	1.5	2.7	2.73	52.6	1.92	22.51	Virtual	De acuerdo	Ni de acuerdo, ni en desacuerdo	2	4	3	1	4	3	Totalmente en desacuerdo	Totalmente de acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	De acuerdo	En desacuerdo	De acuerdo	Bastante	Poco	No en lo absoluto	No en lo absoluto	Bastante	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	Frecuentemente	54
49	SB11201910042854	Masculino	1	18.6	Si	Baja	Privado	3	Beca	4.16	4.2	4.1	2.6	2.5	3.07	81	2.7	21.14	Presencial	En desacuerdo	De acuerdo	3	4	5	3	1	4	Totalmente en desacuerdo	Totalmente en desacuerdo	De acuerdo	Indeciso	De acuerdo	En desacuerdo	En desacuerdo	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Casi siempre	Frecuentemente	Algunas veces	Algunas veces	Algunas veces	52
50	SB11201910037236	Masculino	1	16.76	Si	Baja	Privado	2	Beca	4.18	3.5	4.3	3.8	3	3.7	57.3	1.91	25	Virtual	De acuerdo	De acuerdo	3	3	1	1	2	1	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	De acuerdo	En desacuerdo	En desacuerdo	Indeciso	Bastante	Poco	Mucho	Bastante	Poco	Frecuentemente	Algunas veces	Algunas veces	Frecuentemente	Algunas veces	36
51	SB11201910042910	Masculino	1	17.93	No	Alta	Privado	1	Beca	4.8	4.7	5	3.2	2.4	3.53	35.4	1.18	26.89	Presencial	En desacuerdo	De acuerdo	3	4	5	3	5	4	De acuerdo	En desacuerdo	En desacuerdo	Indeciso	De acuerdo	De acuerdo	Totalmente de acuerdo	Bastante	Bastante	Poco	Poco	Bastante	Frecuentemente	Casi nunca	Algunas veces	Casi nunca	Casi siempre	35
52	SB11201910036984	Femenino	0	16.77	Si	Media	Privado	1	Beca	3.73	2.5	4.7	3.3	2.7	3.57	48.3	1.61	21.34	Presencial	De acuerdo	De acuerdo	3	5	4	4	4	5	Totalmente de acuerdo	De acuerdo	En desacuerdo	De acuerdo	En desacuerdo	Totalmente en desacuerdo	En desacuerdo	Bastante	Bastante	Poco	Poco	Bastante	Casi siempre	Casi nunca	Frecuentemente	Casi nunca	Casi nunca	35
53	SB11201910036719	Masculino	1	19.17	Si	Media	Privado	1	Beca	3.62	3.8	3.2	1.4	4	2.87	39.6	1.32	21	Presencial	De acuerdo	De acuerdo	3	3	5	5	4	4	En desacuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	De acuerdo	De acuerdo	En desacuerdo	De acuerdo	Poco	Poco	Bastante	No en lo absoluto	Poco	Casi siempre	Frecuentemente	Casi nunca	Frecuentemente	Algunas veces	34
54	SB11201910040613	Femenino	0	18.17	Si	Baja	Privado	2	Beca	3.51	3.2	2.8	3.8	1.9	2.83	32.1	1.07	24.24	Presencial	En desacuerdo	De acuerdo	3	1	1	5	4	3	De acuerdo	Ni de acuerdo, ni en desacuerdo	Totalmente en desacuerdo	Indeciso	De acuerdo	Totalmente de acuerdo	De acuerdo	Poco	Poco	Bastante	Bastante	Poco	Algunas veces	Algunas veces	Algunas veces	Algunas veces	Casi siempre	32
55	SB11201910037250	Femenino	0	21.82	Si	Alta	Privado	1	Beca	4.15	4.8	2.8	1.4	3.5	2.57	42.3	1.41	26.17	Virtual	En desacuerdo	De acuerdo	3	2	4	3	1	4	En desacuerdo	Totalmente en desacuerdo	En desacuerdo	Totalmente en desacuerdo	En desacuerdo	Totalmente en desacuerdo	Indeciso	Bastante	Poco	Bastante	No en lo absoluto	Poco	Casi nunca	Frecuentemente	Frecuentemente	Algunas veces	Algunas veces	28
56	SB11201910038501	Femenino	0	17.83	Si	Baja	Privado	1	Beca	3.71	2	4.7	3.6	3	3.77	25.8	1.06	24.19	Virtual	En desacuerdo	De acuerdo	3	2	5	4	3	1	Ni de acuerdo, ni en desacuerdo	De acuerdo	De acuerdo	Indeciso	De acuerdo	En desacuerdo	De acuerdo	No en lo absoluto	No en lo absoluto	Bastante	Poco	Poco	Algunas veces	Casi nunca	Casi nunca	Frecuentemente	Algunas veces	28
57	SB11201910045994	Femenino	0	16.88	Si	Media	Privado	2	Beca	3.57	2.2	3.3	3.6	3.3	3.1	45.7	1.52	26.77	Virtual	En desacuerdo	De acuerdo	3	5	5	5	5	4	Ni de acuerdo, ni en desacuerdo	Totalmente de acuerdo	Totalmente de acuerdo	Indeciso	De acuerdo	De acuerdo	Indeciso	Bastante	Bastante	Poco	No en lo absoluto	Bastante	Algunas veces	Frecuentemente	Casi siempre	Casi siempre	Casi siempre	28
